1413741615 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413741940 326548 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741941 327554 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741942 328559 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741943 329560 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741944 330561 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741945 331564 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741946 332571 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741947 333577 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741948 334579 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741949 335582 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741950 336587 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741951 337593 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741952 338594 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741953 339600 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741954 340607 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741955 341610 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741956 342619 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741957 343623 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741958 344624 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741959 345627 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741960 346641 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741961 347642 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741962 348647 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741963 349654 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741964 350660 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741965 351669 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741966 352673 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741967 353680 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741968 354685 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741969 355687 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741970 356688 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741971 357696 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
